title,company,company_size,industry,type,salary,company_type,source,experience,education,salary2
大数据应用分析师（应届）(马上消费金融股份有限公司),马上消费金融股份有限公司,2000-5000人,数据分析师,全职,8000-12000,民营,猎聘,不限,本科,10000.0
数据分析工程师 （评估方向）(Baidu),百度在线网络技术(北京)有限公司,10000人以上,数据分析师,全职,面议,外商独资/办事处,猎聘,不限,本科,
数据分析工程师(金恪集团),上海金恪企业管理咨询有限公司,1000-2000人,数据分析师,全职,8000-12000,民营,猎聘,3-5年,本科,10000.0
数据运营分析师（北京）(北京市长城企业战略研究所),北京市长城企业战略研究所,100-499人,咨询顾问/咨询员,全职,5000-8000,民营,猎聘,1-3年,本科,6500.0
C工程师(某知名大数据分析服务提供商),某知名大数据分析服务提供商,100-499人,C++,全职,20000-25000,民营,猎聘,1-3年,本科,22500.0
数据分析工程师(中科软科技股份有限公司),中科软科技股份有限公司,5000-10000人,数据分析师,全职,5000-8000,民营,猎聘,1-3年,本科,6500.0
数据挖掘分析师(京东数字科技控股有限公司),京东数字科技控股有限公司,2000-5000人,数据挖掘工程师,全职,面议,外商独资/办事处,猎聘,5-10年,本科,
大数据分析工程师（高级）(中油瑞飞),北京中油瑞飞信息技术有限责任公司,2000-5000人,数据分析师,全职,20000-25000,国企,猎聘,3-5年,博士,22500.0
数据分析工程师(科创恒利),北京科创恒利科技有限公司,100-499人,IT/互联网,全职,8000-12000,民营,猎聘,不限,大专,10000.0
需求分析师(深圳索信达数据技术有限公司),深圳索信达数据技术有限公司,100-499人,IT/互联网,全职,12000-20000,外商独资/办事处,猎聘,3-5年,本科,16000.0
数据运营分析师(人人公司),北京千橡网景科技发展有限公司,2000-5000人,IT/互联网,全职,20000-25000,民营,猎聘,3-5年,本科,22500.0
研究分析师（影视文娱）(艺恩),北京艺恩世纪数据科技股份有限公司,50-99人,咨询/法律/翻译/商标/专利,全职,8000-12000,民营,猎聘,1-3年,本科,10000.0
数据分析工程师(006050) (职位编号：glodon006050)(广联达),广联达科技股份有限公司,2000-5000人,数据库开发工程师,全职,12000-20000,上市公司,猎聘,5-10年,不限,16000.0
数据高级分析师(友信金服),北京友信科技有限公司,10000人以上,IT/互联网,全职,25000以上,民营,猎聘,3-5年,硕士,25000.0
高级业务需求分析师（金融数据分析方向-急）(中网数据(北京)股份有限公司),中网数据(北京)股份有限公司,100-499人,IT/互联网,全职,25000以上,民营,猎聘,5-10年,本科,25000.0
数据分析工程师(油气勘探开发GIS)(中油瑞飞),北京中油瑞飞信息技术有限责任公司,2000-5000人,数据分析师,全职,8000-12000,国企,猎聘,3-5年,本科,10000.0
数据风控分析师(北京聚量广告传媒有限公司),北京聚量广告传媒有限公司,50-99人,数据分析师,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
数据资深分析师(友信金服),北京友信科技有限公司,10000人以上,数据分析师,全职,25000以上,民营,猎聘,3-5年,本科,25000.0
数据建模分析师(宜信公司),普信恒业科技发展(北京)有限公司,10000人以上,数据分析师,全职,面议,民营,猎聘,1-3年,本科,
数据分析工程师(川北真空科技(北京)有限公司),川北真空科技(北京)有限公司,100-499人,咨询/法律/翻译/商标/专利,全职,5000-8000,民营,猎聘,不限,本科,6500.0
数据分析系统工程师(北京锦鸿希电信息技术股份有限公司),北京锦鸿希电信息技术股份有限公司,100-499人,算法工程师,全职,12000-20000,民营,猎聘,3-5年,硕士,16000.0
